date,site,home,div,score,away,div,score,win,lose,wr,lr,dr,wo1,lo1,wo2,lo2,wso,lso
2015-11-14,home,Amherst,D3,2.19,Colby-Sawyer,D3,0.38,0.896,0.104,0.795,0.051,0.154,0.033,0.006,0.025,0.004,0.044,0.044
2015-11-14,neutral,Augustana (IL),D3,0.55,Puget Sound,D3,0.77,0.425,0.575,0.237,0.371,0.392,0.022,0.031,0.019,0.027,0.146,0.146
2015-11-14,neutral,Babson,D3,0.66,Lynchburg,D3,1.07,0.377,0.623,0.225,0.448,0.327,0.022,0.035,0.018,0.029,0.111,0.111
2015-11-14,neutral,Bowdoin,D3,1.08,Johns Hopkins,D3,1.85,0.319,0.681,0.220,0.553,0.227,0.023,0.040,0.017,0.029,0.059,0.059
2015-11-14,neutral,Brandeis,D3,1.23,Western Conn. St.,D3,0.61,0.680,0.320,0.512,0.185,0.303,0.037,0.019,0.030,0.015,0.100,0.100
2015-11-13,home,Calvin,D3,2.57,MSOE,D3,0.66,0.876,0.124,0.784,0.074,0.142,0.034,0.009,0.024,0.006,0.035,0.035
2015-11-14,neutral,Capital,D3,0.61,Hanover,D3,1.54,0.251,0.749,0.145,0.600,0.254,0.015,0.039,0.012,0.031,0.079,0.079
2015-11-14,home,Carnegie Mellon,D3,4.04,Cabrini,D3,0.33,0.983,0.017,0.955,0.009,0.036,0.013,0.001,0.008,0.001,0.007,0.007
2015-11-14,neutral,Catholic,D3,1.22,Ithaca,D3,1.87,0.349,0.651,0.248,0.526,0.226,0.026,0.040,0.018,0.028,0.057,0.057
2015-11-14,home,Centre,D3,3.88,Penn St.-Behrend,D3,0.91,0.933,0.067,0.879,0.044,0.076,0.026,0.006,0.015,0.004,0.013,0.013
2015-11-14,neutral,Chicago,D3,1.60,Sewanee,D3,1.13,0.618,0.382,0.484,0.268,0.248,0.038,0.027,0.028,0.020,0.068,0.068
2015-11-14,home,Denison,D3,2.17,DeSales,D3,0.89,0.783,0.217,0.668,0.141,0.191,0.039,0.016,0.028,0.011,0.048,0.048
2015-11-13,neutral,DePauw,D3,1.14,Wis.-Oshkosh,D3,1.47,0.415,0.585,0.293,0.448,0.259,0.028,0.037,0.021,0.027,0.072,0.072
2015-11-11,home,Elms,D3,1.39,Curry,D3,0.90,0.632,0.368,0.484,0.243,0.273,0.037,0.024,0.029,0.019,0.082,0.082
2015-11-11,home,Endicott,D3,2.09,Emerson,D3,0.75,0.802,0.198,0.684,0.123,0.193,0.038,0.014,0.028,0.010,0.051,0.051
2015-11-11,home,FDU-Florham,D3,2.05,Geneva,D3,1.17,0.697,0.303,0.576,0.213,0.211,0.040,0.023,0.028,0.016,0.052,0.052
2015-11-11,home,Grove City,D3,2.38,Marywood,D3,0.48,0.892,0.108,0.798,0.058,0.144,0.033,0.007,0.024,0.005,0.038,0.038
2015-11-13,neutral,Gust. Adolphus,D3,1.03,Wheaton (IL),D3,1.84,0.308,0.692,0.210,0.563,0.228,0.022,0.040,0.016,0.029,0.060,0.060
2015-11-14,home,Ill. Wesleyan,D3,3.33,Westminster (MO),D3,0.33,0.966,0.034,0.921,0.016,0.063,0.019,0.002,0.013,0.001,0.014,0.014
2015-11-11,home,Kean,D3,2.61,Bard,D3,0.67,0.878,0.122,0.788,0.073,0.139,0.034,0.009,0.023,0.006,0.033,0.033
2015-11-12,neutral,Maranatha Baptist,D3,2.94,North Central (MN),D3,0.63,0.913,0.087,0.838,0.052,0.110,0.030,0.006,0.020,0.004,0.025,0.025
2015-11-14,home,Messiah,D3,6.09,Staten Island,D3,0.15,0.999,0.001,0.995,0.000,0.004,0.002,0.000,0.001,0.000,0.001,0.001
2015-11-14,neutral,Montclair St.,D3,1.24,Springfield,D3,0.66,0.670,0.330,0.504,0.196,0.299,0.037,0.020,0.030,0.016,0.098,0.098
2015-11-11,home,NYU,D3,3.70,Lehman,D3,0.25,0.981,0.019,0.950,0.008,0.042,0.014,0.001,0.009,0.001,0.009,0.009
2015-11-14,neutral,Pomona-Pitzer,D3,1.26,Wis.-La Crosse,D3,1.09,0.546,0.454,0.403,0.319,0.278,0.034,0.030,0.026,0.023,0.082,0.082
2015-11-14,neutral,Roger Williams,D3,1.29,Misericordia,D3,0.72,0.660,0.340,0.500,0.210,0.291,0.037,0.021,0.030,0.017,0.093,0.093
2015-11-14,home,Rowan,D3,1.66,Lasell,D3,0.53,0.791,0.209,0.651,0.115,0.234,0.038,0.012,0.030,0.010,0.072,0.072
2015-11-11,home,Rutgers-Newark,D3,1.89,Ramapo,D3,1.59,0.565,0.435,0.449,0.329,0.221,0.038,0.032,0.026,0.022,0.051,0.051
2015-11-14,home,Stevens,D3,2.81,Lesley ,D3,0.67,0.896,0.104,0.814,0.063,0.123,0.032,0.008,0.022,0.005,0.028,0.028
2015-11-14,neutral,St. Lawrence,D3,0.86,TCNJ,D3,1.43,0.349,0.651,0.227,0.503,0.270,0.023,0.038,0.018,0.029,0.081,0.081
2015-11-11,home,Stockton,D3,0.91,Mt. St. Mary (NY),D3,0.42,0.665,0.335,0.459,0.164,0.377,0.035,0.016,0.030,0.014,0.140,0.140
2015-11-14,neutral,SUNY Oneonta,D3,0.81,McDaniel,D3,1.44,0.329,0.671,0.210,0.521,0.269,0.021,0.038,0.017,0.030,0.082,0.082
2015-11-14,home,Swarthmore,D3,4.07,St. Joseph's (L.I.),D3,0.27,0.986,0.014,0.961,0.007,0.032,0.012,0.001,0.007,0.000,0.006,0.006
2015-11-14,home,Thomas More,D3,0.87,Piedmont,D3,0.32,0.693,0.307,0.475,0.131,0.393,0.036,0.013,0.031,0.012,0.151,0.151
2015-11-13,home,Trinity (TX),D3,1.50,Texas-Tyler,D3,0.61,0.741,0.259,0.590,0.150,0.260,0.039,0.016,0.031,0.012,0.082,0.082
2015-11-13,neutral,UC Santa Cruz,D3,0.73,Hardin-Simmons,D3,3.99,0.046,0.954,0.029,0.909,0.062,0.004,0.021,0.002,0.013,0.011,0.011
2015-11-11,home,U New England,D3,2.38,Framingham St.,D3,0.62,0.865,0.135,0.765,0.079,0.156,0.035,0.009,0.025,0.007,0.040,0.040
2015-11-14,home,Wartburg,D3,1.74,St. Scholastica,D3,0.65,0.773,0.227,0.637,0.135,0.228,0.039,0.015,0.030,0.011,0.067,0.067
2015-11-14,neutral,Washington-St. Louis,D3,2.53,York (PA),D3,0.31,0.933,0.067,0.855,0.030,0.114,0.028,0.003,0.020,0.002,0.030,0.030
2015-11-11,home,Wentworth,D3,1.76,Smith,D3,0.46,0.827,0.173,0.695,0.090,0.215,0.037,0.010,0.029,0.008,0.066,0.066
2015-11-14,home,Williams,D3,1.91,Westfield St.,D3,0.43,0.853,0.147,0.732,0.075,0.194,0.036,0.008,0.028,0.006,0.058,0.058
2015-11-14,home,William Smith,D3,3.12,Penn St.-Berks,D3,0.41,0.951,0.049,0.894,0.026,0.080,0.023,0.003,0.016,0.002,0.018,0.018
2015-11-13,home,Wis.-Whitewater,D3,2.36,Carroll (WI),D3,0.82,0.823,0.177,0.717,0.112,0.170,0.038,0.013,0.026,0.009,0.042,0.042
